ids	maltype	system calls tfidf_1gram-scaled
delay_154_2021-11-30	delay	[0.0, 0.0004315261064256122, 0.00018874192309980428, -0.09255968404504386, 0.00037748384619960856, -0.4583870911672348, 0.0, 0.4867524903562338, 0.0, 0.00019357432579098573, 0.0, 0.0005177530607010933, -1.299103022862979, 0.00014032663963450115, -0.15357181024296068, 0.00018874192309980428, 35.562698793718575]
delay_155_2021-11-30	delay	[0.0, 0.00039189689649904566, 0.00017140880424305348, -0.5314936556814159, 0.00034281760848610697, -0.2760607150388249, 0.0, -1.0286341079019572, 0.0, 0.00017579742312174491, 0.0, 0.0004702051964418473, 0.48494634972796763, 0.00012743973945034294, -0.5720566334357038, 0.00017140880424305348, 31.5735734026799]
delay_156_2021-11-30	delay	[0.0, 0.00036385359155772286, 0.00015914315628830588, 0.009652762782457395, 0.00031828631257661176, 0.324972973382493, 0.0, -1.2248911006977181, 0.0, 0.0001632177349727885, 0.0, 0.00043655831679924355, 0.594581675859659, 0.00011832042386766036, 0.607989898973734, 0.00015914315628830588, 27.698250975866536]
delay_157_2021-11-30	delay	[0.0, 0.0004230777255423253, 0.0001850467500123654, -0.5054646604168563, 0.0003700935000247308, -0.536177610125711, 0.0, -0.34802345116474165, 0.0, 0.00018978454434055651, 0.0, 0.0005076165359459116, -0.42465384265886513, 0.00013757933678989706, 0.12586789769675616, 0.0001850467500123654, 34.055843951782414]
delay_158_2021-11-30	delay	[0.0, 0.0008002405878742183, 0.00035001114706355416, -0.7178813830115681, 0.0007000222941271083, -1.2425891391116892, 0.0, -2.0619838030432307, 0.0, 0.00035897256263691903, 0.0, 0.0009601435637371842, 0.7098080435069247, 0.0002602277612487497, -2.783688490020622, 0.00035001114706355416, 63.798771077099445]
delay_159_2021-11-30	delay	[0.0, 0.000364571217870817, 0.00015945703340578164, -0.46046967234710356, 0.0003189140668115633, 0.39693723574562784, 0.0, -1.4566248094195917, 0.0, 0.00016353964835800106, 0.0, 0.00043741933821721, 0.900644191778706, 0.00011855378654845834, 0.02728391579832229, 0.00015945703340578164, 28.999446087901784]
delay_15_2021-11-30	delay	[0.0, 0.00043240150836519587, 0.00018912480849909307, -0.14572915656446153, 0.00037824961699818615, -0.5748916562832631, 0.0, -0.6190520501082006, 0.0, 0.00019396701429285793, 0.0, 0.0005188033842546724, 0.14621924958109547, 0.00014061130888320275, -1.7464993303376601, 0.00018912480849909307, 35.36152775829435]
delay_160_2021-11-30	delay	[0.0, 0.0004177091831256231, 0.00018269864405797884, -0.8440041395890966, 0.0003653972881159577, -0.45949587769312966, 0.0, -0.8168852819158686, 0.0, 0.00018737631929155227, 0.0, 0.0005011752587523373, 0.3290819492514551, 0.00013583355708884679, -1.3655771954995162, 0.00018269864405797884, 33.998945083381344]
delay_161_2021-11-30	delay	[0.0, 0.00042020454152528173, 0.00018379006989794944, 0.6328015689051428, 0.00036758013979589887, -0.7606990733841371, 0.0, -0.9708030170244976, 0.0, 0.00018849568915731046, 0.0, 0.0005041692362422998, 0.4253470713273776, 0.00013664501496750975, -0.9201108996061834, 0.00018379006989794944, 33.53919255375575]
delay_162_2021-11-30	delay	[0.0, 0.0003806168730332593, 0.00016647512053344357, 0.624878963169639, 0.00033295024106688714, -0.02966625112912019, 0.0, -1.7005980722744591, 0.0, 0.0001707374211779865, 0.0, 0.0004566712141700289, 1.2146005324475808, 0.00012377162351394366, -0.4218313562031484, 0.00016647512053344357, 29.616352854769374]
